reference_num,name,lat,lon,diameter,confidence,elevation,rho,dn_inside,dn_outside,dn_difference,continous_ejecta_rad,flow_length,dark_halo_diameter,ejecta_completeness,rim_completeness,planform,morphologic_class,central_structure_diameter,wall_terracing,wall_width,multiple_crater,floor_reflectivity,parabolic_feature,impactor_direction,multi_asteroid_grp_num,terrain,interior_flat_floor,exterior_embayment,tectionically_deformed,degradation_state,comments,wall_terracing_detail,multicrater_detail,planform_detail,morph_class_detail,floor_reflectivity_detail,parabolic_detail,terrain_detail,interior_floor_detail,exterior_embayment_detail,techtonically_deformed_detail,degradation_state_detail
1,Mead,12.5,57.219,268.7,1,6052.2,1.91,109,90,19,110.2,0.0,510,0.7,1.0,c,6,193.6,t,0.0,s,i,n,null,0,p,y,n,n,1,impact melt appears to fill inner basin and cover some ejecta; inner wall of rim and ring steepest; area inside inner ring is lighter; fractures in center,terraced,single crater,circular,multi-ring,intermediate,no,plains,yes,no,no,pristine with ejecta
10,Cochran,51.885,143.385,98.1,1,6051.77,3.18,100,85,15,76.4,270.0,0,0.8,1.0,c,5,53.0,t,7.6,s,d,n,w,0,p,y,n,n,1,flows go around tesserae (postdate),terraced,single crater,circular,peak rings,dark,no,plains,yes,no,no,pristine with ejecta
100,Xantippe,-10.856,11.763,40.6,1,6051.45,2.86,108,85,23,42.1,157.8,0,1.0,1.0,c,3,17.2,t,5.7,s,d,n,sw,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
101,Balch,29.9,282.9,39.4,1,6054.44,3.5,143,140,3,26.9,0.0,0,0.3,0.9,c,3,12.7,u,0.0,s,d,n,null,0,t,y,n,y,2,rifted in half;  crater diam listed is pre-rift, diam in direction of rifting is 51.9 km,unterraced,single crater,circular,central peak,dark,no,tessera and mountain belts,yes,no,yes,no ejecta
102,Heloise,40.011,52.029,39.3,1,6051.67,2.55,80,80,0,20.0,0.0,0,0.1,0.9,i,0,0.0,null,0.0,m,d,n,null,0,p,null,y,n,3,null,null,multiple floor,irregular,flat floor,dark,no,plains,null,yes,no,highly degraded
103,La Fayette,70.2,107.6,39.3,1,6051.75,3.5,138,92,46,23.4,79.2,100,1.0,1.0,c,3,10.7,t,5.8,s,b,n,s,0,p,y,n,n,1,flows around (postdates) corona,terraced,single crater,circular,central peak,bright,no,plains,yes,no,no,pristine with ejecta
104,Chiyojo,-47.8,95.7,38.8,1,6051.25,2.86,95,107,-12,51.6,252.0,0,1.0,1.0,c,4,11.4,t,3.9,s,d,n,null,0,p,y,n,n,1,dark flows around crater, small crater 100 km to N?,terraced,single crater,circular,several peaks,dark,no,plains,yes,no,no,pristine with ejecta
105,Piaf,0.8,5.3,38.8,1,6051.09,2.23,120,113,7,31.6,61.0,0,0.9,1.0,c,3,12.9,t,5.5,s,d,n,ne,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
106,Flagstad,-54.3,18.9,38.5,1,6052.15,1.91,83,84,-1,41.5,98.2,80,1.0,1.0,c,3,3.9,t,6.8,s,d,n,se,0,p,y,n,n,1,300 km diffuse halo also,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
107,Howe,-45.7,174.8,38.5,1,6051.42,1.59,102,91,11,31.8,109.8,0,0.8,1.0,c,3,9.8,t,4.3,s,i,n,e,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,intermediate,no,plains,yes,no,no,pristine with ejecta
108,Zenobia,-29.345,28.577,38.5,1,6051.63,2.23,115,80,35,45.8,84.0,95,1.0,1.0,c,4,13.6,t,5.6,s,i,y,null,0,p,y,n,n,1,null,terraced,single crater,circular,several peaks,intermediate,yes,plains,yes,no,no,pristine with ejecta
109,Agrippina,-33.258,65.675,38.4,1,6051.06,2.55,100,100,0,33.6,73.2,0,1.0,1.0,c,3,10.2,t,4.5,s,d,n,n,0,p,y,n,n,1,null,terraced,single crater,circular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
